"question_id","question","axis"
1,"Czy wolisz spędzać czas wolny samotnie czy w towarzystwie innych?","X"
2,"Czy preferujesz pracę nad projektami samemu czy w zespole?","X"
3,"Czy czerpiesz więcej radości z aktywności indywidualnych czy grupowych?","X"
4,"Czy wolisz tworzyć sztukę czy uprawiać sport?","Y"
5,"Czy interesują Cię zajęcia artystyczne czy sportowe?","Y"
6,"Czy wolisz ćwiczyć samodzielnie czy z partnerem/trenerem?","X"
7,"Czy lubisz uczestniczyć w wydarzeniach kulturalnych czy sportowych?","Y"
8,"Czy preferujesz czytanie książek czy granie w gry zespołowe?","X"
9,"Czy czerpiesz więcej satysfakcji z malowania czy z gry w piłkę nożną?","Y"
10,"Czy wolisz zajęcia wymagające kreatywności czy fizycznej aktywności?","Y"
11,"Czy preferujesz indywidualne lekcje czy zajęcia grupowe?","X"
12,"Czy wolisz planować swoje działania samodzielnie czy zgodnie z planem grupy?","X"
13,"Czy czerpiesz przyjemność z pisania czy z rywalizacji sportowej?","Y"
14,"Czy wolisz słuchać muzyki czy kibicować drużynie sportowej?","Y"
15,"Czy preferujesz zwiedzanie galerii sztuki czy uczestnictwo w meczach sportowych?","Y"
16,"Czy lubisz medytację czy ćwiczenia w grupie?","X"
17,"Czy wolisz grać na instrumencie czy uprawiać sport zespołowy?","Y"
18,"Czy czerpiesz radość z fotografowania czy z biegania w maratonach?","Y"
19,"Czy wolisz spędzać czas na majsterkowaniu czy na treningach drużynowych?","X"
20,"Czy interesuje Cię taniec solowy czy taniec w grupie?","X"
21,"Czy preferujesz samotne wędrówki czy zorganizowane wycieczki?","X"
22,"Czy wolisz tworzyć rękodzieło czy uczestniczyć w sportach ekstremalnych?","Y"
23,"Czy czerpiesz więcej satysfakcji z ogrodnictwa czy z treningów na siłowni?","Y"
24,"Czy wolisz naukę programowania czy gry zespołowe online?","X"
25,"Czy preferujesz gry planszowe czy gry zespołowe?","X"
26,"Czy lubisz uczyć się nowych technik artystycznych czy sportowych?","Y"
27,"Czy wolisz zajęcia kulinarne czy sporty wodne?","Y"
28,"Czy czerpiesz przyjemność z układania puzzli czy z gier sportowych?","Y"
29,"Czy preferujesz obserwację przyrody czy wspinaczkę z przyjaciółmi?","X"
30,"Czy wolisz indywidualne zajęcia fitness czy zajęcia fitness w grupie?","X"
31,"Czy interesuje Cię kaligrafia czy sztuki walki?","Y"
32,"Czy wolisz pisanie poezji czy taniec towarzyski?","Y"
33,"Czy czerpiesz radość z projektowania graficznego czy z jazdy na rowerze w grupie?","Y"
34,"Czy preferujesz samotne zwiedzanie muzeów czy grupowe wycieczki sportowe?","X"
35,"Czy wolisz czytać literaturę piękną czy magazyny sportowe?","Y"
36,"Czy lubisz pracować nad projektami DIY czy uczestniczyć w drużynowych grach planszowych?","X"
37,"Czy wolisz uczyć się języków obcych czy grać w siatkówkę?","Y"
38,"Czy czerpiesz więcej radości z pisania kodu czy z uprawiania sportów drużynowych?","X"
39,"Czy preferujesz samotne ćwiczenia jogi czy zajęcia aerobiku w grupie?","X"
40,"Czy wolisz udział w konkursach literackich czy sportowych?","Y"
